unitid,nav_avg_net_price,matched
170301,30700,1
170532,26956,1
170639,12339,1
170675,34083,1
170806,18373,1
170976,17574,1
171100,23657,1
171128,16879,1
171137,11521,1
171146,7852,1
171456,15707,1
171571,12208,1
172051,11546,1
172334,21067,1
172644,14416,1
172699,17331,1
173142,21127,1
173160,31738,1
173258,28047,1
173300,25190,1
173328,18028,1
173902,40225,1
173920,18861,1
174066,17209,1
174233,20128,1
174251,9677,0
174437,26363,1
174491,29117,1
174747,28400,1
174783,14735,1
174792,28504,1
174817,22032,1
174844,26756,1
174914,31250,1
175005,20918,1
175272,18289,1
175342,12376,1
175421,16299,1
175430,24712,0
175616,14021,1
175856,23450,1
175980,27737,1
176017,15045,1
176035,12487,1
176080,18478,1
176372,15095,1
176406,14328,1
176947,22929,1
176965,14943,1
177117,14704,1
177144,21996,1
177214,21903,1
177339,19261,1
177551,9418,0
177968,20901,1
178059,22983,1
178341,11626,1
178396,22169,1
178402,14748,1
178411,17366,1
178420,14008,1
178615,13602,1
178624,16790,1
178697,11637,1
179043,25787,1
179159,27749,1
179557,16185,1
179867,22408,0
179894,29503,1
179955,19294,1
180179,15018,1
180416,16665,1
180489,17370,1
180595,20791,1
181002,32636,1
181215,16287,1
181394,13662,1
181446,21122,1
181464,18322,1
181604,17078,1
181738,24844,1
182281,11553,1
182290,17226,1
182634,27496,1
182670,20322,0
182980,27398,1
183026,36501,1
183044,24999,1
183062,19997,1
183080,20183,1
183239,35551,1
183910,21875,1
184348,28425,1
184612,15569,1
184694,25585,1
184782,23761,1
185129,16724,1
185262,12708,1
185572,34072,1
185590,17669,1
185828,17313,1
186131,15313,1
186201,17566,1
186283,26506,1
186371,19821,1
186380,20522,1
186399,18276,1
186432,13775,1
186584,33896,1
186867,46165,1
186876,20761,1
187134,25580,1
187444,13509,1
187967,11551,1
187985,6347,1
188030,10719,1
188340,40301,1
188429,31303,1
188641,26470,1
189097,26407,1
189705,19666,1
190044,32406,1
190099,28736,1
190372,26283,1
190415,26361,1
190512,4326,1
190549,4512,1
190558,6525,1
190567,4664,1
190594,4431,1
190600,4082,1
190637,3961,1
190664,5728,1
190691,5131,1
190716,20690,1
190761,33972,1
190983,23682,1
191241,48190,1
191515,28719,1
191533,31712,1
191630,34170,1
191649,35792,1
191676,21274,1
191931,29978,1
191968,35253,1
192192,24628,1
192323,23702,1
192703,29717,1
192749,21690,1
192819,42508,1
192864,38376,1
193016,15200,1
193292,24405,1
193308,13291,1
193353,26896,1
193399,22808,1
193584,30785,1
193654,67224,1
193900,30325,1
193973,16613,1
194091,24688,1
194310,34791,1
194824,38887,1
194958,23275,1
195003,39534,1
195030,40462,1
195128,21046,1
195164,27373,1
195216,33216,1
195243,21187,1
195474,32955,1
195526,31187,1
195544,19422,1
195720,30540,1
195809,29656,1
196006,15283,1
196015,14754,1
196033,18140,1
196042,9655,1
196051,15960,1
196060,17949,1
196079,18877,1
196088,20529,1
196097,20992,1
196103,19814,1
196112,14782,1
196121,15725,1
196130,12023,1
196149,19847,1
196158,16023,1
196167,19115,1
196176,18051,1
196185,18669,1
196194,15853,1
196200,13730,1
196219,18211,1
196246,15412,1
196291,20312,1
196413,48215,1
196592,29179,1
196866,42137,1
197027,4101,1
197045,20295,1
197133,29981,1
197197,28033,1
197708,39681,1
197869,14978,1
197911,23962,1
197984,24726,1
198066,26930,1
198136,25736,1
198215,18447,1
198303,15206,1
198385,27720,1
198419,21981,0
198464,13755,1
198507,6483,1
198516,44440,1
198543,7811,1
198561,20016,1
198598,18730,1
198695,43086,1
198756,19705,1
198835,21546,1
198862,12826,1
198950,24323,1
198969,26334,1
199102,10097,1
199111,13798,1
199120,10154,1
199139,15045,1
199148,11404,1
199157,14475,1
199193,15522,1
199218,18976,1
199272,24216,1
199281,9723,1
199412,31839,1
199607,18668,1
199847,24401,1
199865,26084,1
199962,21282,1
200004,13767,1
200059,14698,1
200156,20510,1
200253,13092,1
200280,18076,1
200332,15596,1
200572,12442,1
200800,14693,1
201104,22610,1
201195,27991,1
201371,20429,1
201441,24283,1
201548,22395,1
201645,44000,1
201654,27150,1
201885,24696,1
202134,16230,1
202480,32794,1
202514,26298,1
202523,43721,1
202763,27297,1
203085,19447,1
203128,21868,1
203368,30030,1
203517,21278,1
203535,46859,1
203845,22007,1
204024,28229,1
204185,23616,1
204200,17094,1
204264,19695,1
204501,51624,1
204617,21032,1
204635,25941,1
204796,19783,1
204857,21907,1
204909,23006,1
204936,20457,1
206048,26068,1
206084,17844,1
206349,16350,1
206437,23933,1
206507,26548,1
206589,28004,1
206604,15254,1
206622,33623,1
206695,12757,1
206914,11320,1
207041,8565,1
207263,12410,1
207306,10492,1
207324,22391,1
207388,19561,1
207403,23839,1
207458,24051,1
207500,18574,1
207582,25808,1
207722,8070,1
207865,14410,1
207971,13095,1
208646,18125,1
208822,32171,1
209056,37999,1
209065,29936,1
209409,22907,1
209506,16831,1
209542,22467,1
209551,24605,1
209612,35235,1
209807,10195,1
209825,30985,1
210401,29421,1
210669,26420,1
210739,31732,1
210775,28645,1
211088,30037,1
211273,33221,1
211291,39003,1
211431,21002,1
211440,35552,1
211468,23691,1
211556,31280,1
211981,28975,1
212009,38483,1
212054,42801,1
212106,37917,1
212115,18610,1
212133,27422,1
212197,27760,1
212577,43987,1
212601,23123,1
212656,23528,1
212674,32769,1
212832,27960,1
212911,26535,1
212984,14072,1
213011,24708,1
213020,17626,1
213251,24580,1
213303,21952,1
213321,23689,1
213349,22134,1
213358,24108,1
213367,18069,1
213385,38442,1
213507,27995,1
213543,34154,1
213598,14473,1
213668,20492,1
213826,26217,1
213987,25946,1
213996,29408,1
214041,20551,1
214069,26747,1
214157,31743,1
214166,22216,1
214175,34739,1
214272,28469,1
214777,27889,1
215062,23570,0
215293,25223,1
215442,26502,1
215743,28326,0
215770,31205,1
215798,23758,1
215929,34234,1
215947,23056,1
216010,23772,1
216038,18252,1
216278,26444,1
216287,22469,1
216339,28088,1
216357,22545,1
216366,29325,1
216524,32158,1
216542,27083,1
216597,37201,1
216667,22702,1
216694,18667,1
216764,22546,1
216807,20394,1
216931,28511,1
217013,21748,1
217059,20096,1
217156,26256,0
217165,42139,1
217235,32057,1
217402,48618,1
217420,10346,1
217484,24118,1
217518,38779,1
217536,38307,1
217633,24434,1
217749,19624,1
217819,21004,1
217864,22124,1
217873,17272,1
217882,25003,1
217925,26056,1
217934,18790,1
217961,19061,1
217998,23882,1
218061,11727,1
218070,34086,1
218229,15520,1
218414,21943,1
218441,21346,1
218539,20840,1
218645,12236,1
218654,15363,1
218663,24488,1
218724,14379,1
218733,17965,1
218742,13999,1
218964,16108,1
218973,30481,1
219000,24977,1
219082,20438,1
219091,22990,1
219198,22242,1
219259,15990,1
219356,19932,1
219383,21385,1
219471,19133,1
219602,9882,1
219709,38578,1
219718,13112,1
219806,20895,1
219833,16754,1
219949,18499,1
219976,27695,1
220181,18595,1
220215,20178,1
220613,20416,1
220701,14546,1
220710,21469,1
220862,12756,1
220978,13859,1
221351,31037,1
221519,34815,1
221731,15125,1
221740,15347,1
221759,21648,1
221768,11955,1
221847,15336,1
221892,18035,1
221971,28452,1
221999,25186,1
222178,28760,1
222831,14048,1
222983,23462,1
223232,47001,1
224147,15233,1
224226,30057,1
224323,29209,1
224527,25092,1
224554,12327,1
225247,19811,1
225399,21282,1
225414,14059,1
225432,10832,1
225511,14309,1
225627,23363,1
226091,9814,1
226152,5644,1
226231,29799,1
226833,11215,1
227216,15965,1
227331,16999,1
227368,5282,1
227526,14448,1
227757,23589,1
227845,28766,1
227863,20599,1
227881,14737,1
228042,22884,1
228149,20412,1
228246,48179,1
228343,32228,1
228431,14959,1
228459,15716,1
228529,16159,1
228705,12812,1
228723,21437,1
228769,13755,1
228778,17942,1
228787,14916,1
228796,9305,1
228802,14476,1
228875,41848,1
229018,13563,1
229027,10959,1
229063,13584,0
229115,16919,1
229179,11636,1
229267,32224,1
229780,20446,1
229814,15572,1
230038,16694,1
230603,11840,1
230728,15788,1
230764,16583,1
230782,11333,1
230807,26844,1
230816,34220,1
230852,38173,1
230959,26233,1
230995,24496,1
231059,27982,1
231174,20084,1
231581,11316,1
231624,19686,1
231651,20512,1
231712,23148,1
232025,21446,1
232043,25021,1
232186,18823,1
232256,29717,1
232265,27428,0
232308,22605,1
232423,18856,1
232557,29532,1
232566,20847,1
232609,23845,1
232681,21800,1
232706,31989,1
232937,9124,1
232982,16419,1
233277,16749,1
233295,28912,1
233374,30037,1
233426,26044,1
233541,27181,1
233718,21322,1
233897,14378,1
233921,24912,1
234030,26836,1
234076,18427,1
234085,18825,1
234155,17840,1
234164,11483,1
234173,21267,1
234207,23055,0
234827,19898,1
235316,40117,1
236133,24251,1
236230,22299,1
236328,43188,1
236452,29116,1
236577,25232,1
236595,36948,1
236939,18171,1
236948,11784,1
237011,24338,1
237057,37633,1
237066,27605,1
237330,11379,1
237367,11328,1
237525,8076,1
237969,19218,1
238032,15169,1
238078,21073,1
238193,24425,1
238333,24455,1
238458,27031,1
238476,27066,1
239017,27161,1
239071,28415,1
239105,34322,1
239318,25669,1
239390,20390,1
239628,23772,1
239716,27880,1
240107,21933,1
240189,12709,1
240268,15151,1
240329,14712,1
240338,24095,1
240374,10234,1
240417,15673,1
240426,13215,1
240444,14235,1
240453,16263,1
240462,16266,1
240480,14883,1
240727,14872,1
243744,25078,0
243780,13722,1
245652,25209,1
262129,9078,1
366252,23675,1
366711,10241,1
399911,15691,1
409698,14493,1
433660,12863,1
445188,13690,1
447689,15225,1
482158,11883,1
482680,11157,1
484905,7586,1
486840,15636,1
486901,21165,1
487524,21005,1
490805,7916,1
